id,callsign,airline_iata,airline_icao,origin,destination,aircraft_code,registration,latitude,longitude,altitude,ground_speed,heading,vertical_speed,on_ground,squawk,time
3a3e4634,HBAL732,,,,,BALL,N257TH,40.408,-106.3021,58700,13,153,0,0,,1752265613
3a9f267b,RPT1,,,,,GLID,RPT-1,-33.3785,-70.5781,2575,3,90,128,0,,1752265612
3a9f26a5,LILC,,,,,GRND,,45.808,8.7723,793,0,271,0,0,,1752265610
3a9f26d1,EGC194,,,,,GLID,EGC19-4,36.9174,-4.6844,1437,7,296,0,0,,1752265549
3b0eacaf,HBAL756,,,,,BALL,N256TH,42.1818,-101.8155,56700,6,18,0,0,,1752265613
3b2cd949,TEST,,,,,GLID,TEST,50.4239,9.1987,1062,1,271,0,0,,1752265602
3b2ef542,FDX1803,FX,FDX,ONT,OAK,B763,N268FE,37.7204,-122.2148,0,0,180,0,1,,1752265613
3b302fc7,CFEUS,,,,,C172,C-FEUS,43.4402,-79.81,1374,83,138,256,0,,1752265611
3b303616,FCKSB,,,,,GLID,F-CKSB,39.6174,-3.2188,2194,5,180,0,0,,1752265610
3b31f83a,N851LA,,,,,AT5T,N851LA,39.5093,-89.8342,1100,152,347,-320,0,,1752265552
3b32edb2,SIA23,SQ,SIA,JFK,SIN,A359,9V-SGA,4.8851,102.781,41000,449,148,64,0,,1752265614
3b331f2b,QFA8,QF,QFA,DFW,SYD,B789,VH-ZNF,-34.0364,152.0841,17625,284,276,-1664,0,,1752265613
3b3327d5,SIA24,SQ,SIA,SIN,JFK,A359,9V-SGG,44.9872,-94.3264,43000,522,111,0,0,,1752265613
3b332918,UAE3U,EK,UAE,DXB,ORD,B77W,A6-EQL,41.9883,-87.8112,1800,170,270,-960,0,,1752265614
3b332e27,N758FR,,,VEL,GJT,C172,N758FR,39.1204,-108.5219,0,0,126,0,1,,1752265613
3b333143,QFA3,QF,QFA,AKL,JFK,B789,VH-ZNE,40.6077,-73.8987,2050,153,32,-448,0,,1752265614
3b333f5c,QTR52X,QR,QTR,DOH,LAX,A35K,A7-ANJ,33.9405,-118.4123,0,9,69,0,1,,1752265614
3b3343d9,SIA33,SQ,SIA,SFO,SIN,A359,9V-SGF,1.1713,104.7703,15700,319,268,-1216,0,,1752265613
3b334a0b,QFA74,QF,QFA,SFO,SYD,B789,VH-ZNH,-33.9777,151.1841,75,155,347,-832,0,,1752265614
3b334a68,QTR5V,QR,QTR,DOH,IAH,A35K,A7-ANH,31.3508,-96.6701,32025,465,187,-1536,0,,1752265613
3b334ca9,QTR48R,QR,QTR,DOH,DFW,A35K,A7-ANM,32.894,-97.0522,0,0,95,0,1,,1752265614
3b334d42,CHH729,HU,CHH,PEK,BOS,B789,B-207U,42.373,-71.0051,0,0,213,0,1,,1752265611
3b334e5f,QFA21,QF,QFA,MEL,DFW,B789,VH-ZNL,32.1507,-100.2205,41000,490,65,-64,0,,1752265613
3b334eac,A332,,,,,A332,,60.7862,-152.3777,18675,335,76,-1600,0,,1752265614
3b334eb5,QTR6F,QR,QTR,DOH,JFK,B77W,A7-BEJ,40.6483,-73.7918,0,0,149,0,1,,1752265608
3b33513e,CAL011,CI,CAL,JFK,TPE,B77W,B-18005,26.3208,122.9856,29750,379,229,-1280,0,,1752265613
3b33529f,CSN312,CZ,CSN,YYZ,CAN,B77W,B-7185,23.9295,113.4409,31450,497,194,0,0,,1752265611
3b335475,UAE51N,EK,UAE,DXB,SFO,A388,A6-EOD,38.7547,-123.0217,27575,443,159,-1856,0,,1752265613
3b3358d3,DAL41,DL,DAL,LAX,SYD,A359,N517DZ,-33.9883,151.608,9200,266,277,-1280,0,,1752265614
3b335936,ETD13,EY,ETD,AUH,ATL,A35K,A6-XWE,33.6374,-84.4192,0,0,181,0,1,,1752265614
3b335975,UAE83M,EK,UAE,DXB,LAX,A388,A6-EVF,37.3695,-119.6507,41000,483,178,0,0,,1752265614
3b335be0,HVN99,VN,HVN,SFO,SGN,A359,VN-A890,11.389,108.086,23100,438,241,-1984,0,,1752265614
3b335c8c,UAL839,UA,UAL,LAX,SYD,B789,N25982,-33.6268,153.6865,38975,441,185,-64,0,,1752265614
